CODIGO,UBICACIÓN,PRODUCTO,DESCRIPCIÓN,MARCA,MODELO,STOCK,OBSERVACIONES,IMAGEN,FECHA DE INGRESO
S0333,AREA EX3,HEBILLA,"HEBILLA PARA FLEJE 15.8 MM 5/8""",OPTRONICS,OPHAHEBAI58,-338,0,,
S0334,AREA EX3,TAQUETE,"TAQUETE DE PLASTICO ANCLO GARRAS, 7.9 MM 5/16"", BLANCO Y GRIS",ANCLO,AG5610A,19,227,,
S0335,AREA EX4,HERRAJES,HERRAJE TIPO PERA,,,-435,,,
S0336,AREA H,FUSIONADORA,"KIT FUSIONADO ESTUCHE AMARILLO, FUSIONADORA DE FIBRA OPTICA, GRIS, MARCA FIBERFOX, MODELO MINI 5C / CLEAVER, NEGRO, MODELO SKL-6C / 3 PILAS PARA FUSIONADORA Y CARGADO DE FUSIONADORA",,,0,,,
S0337,AREA E,CAMARA,AUDIO POR COAXITRON / Bala TURBOHD 5 Megapixel / Gran Angular 85.5° / Lente 2.8 mm / 30 mts IR EXIR / Exterior IP67 / 4 Tecnologías / dWDR,EPCOM,B50TURBOG2A,0,,,
S0338,,JUMPER,"Jumper de Fibra Óptica Monomodo LC/UPC-SC/APC Simplex, color amarillo 3 metros",LINKEDPRO,LPFOLCUSCA03,16,6,,
S0339,AREA E,,Módulo Jack Keystone Cat5e con terminación 110 (Punchdown) para faceplate - Color Azul,LINKEDPRO,LPKJ505BU,0,,,
S0340,AREA OF,OPM,"MEDIDOR DE POTENCIA DE FIBRA OPTICA, COLO AZUL/GRIS",ELOIK,ALK1001B,1,,,
S0341,AREA E,BATERIAS,BATERIAS AAA,VOLTECK,46013,0,,,
S0342,AREA H,DACC,JUMPER DE 2 MTS. PARA CONEXIÓN DIRECTA,FS,SFPP-PC02,0,,,
S0343,,ESPIRAL,"ESPIRAL PARA CABLES, ORGANIZADOR DE CABOS, 2 MTS.",SCHNEIDER ELECTRIC,DXN3416B,1,,,
S0344,AREA A,ORGANIZADOR,"ORGANIZADOR ORIZONTAL DE CABLES PARA RACK DE 19"" DE 1 UNIDAD, NEGRO SEMI-MATE",LINKEDPRO,LPCM04,2,,,
S0345,AREA A,TOMACORRIENTE,"TOMACORRIENTE MULTIPLE HORIZONTAL, PARA RACK 19"", 1 UNIDAD. 8 CONTACTOS. NEGRO",LINKEDPRO,HTCM1U,4,,,
S0346,AREA E,Papel protector,"Papel protector facil de despegar, transparente, 12 mm",EPSON,LC-4TBN9,1,,,
S0347,AREA E,Clavija,"Clavija blindada, 2 polo, 3 hilos",VOLTECH,CLI-A,1,,,
S0348,AREA E,Terminal,"Terminales de aislamiento ojillo, 1/4 amarilla, calibre 12-10",NIQMEX,01-abr,27,,,
S0349,AREA E,Capa,"Capa platica repuesto, para Jacks del Patch Panels de impacto 110",PANDUIT,167275,57,,,
S0350,AREA E,Pija,Pija para broca galvanizada 8 X 3/4,K-LATH,562008009D,84,,,
S0351,AREA E,Tornillo,Tornilo para metal cabeza plana autoperforante 8 x 1/2,HILLMAN,48994,30,,,
S0352,AREA E,TUERCA,conector de enlace de blindaje,3M,4460-D,1,,,
S0353,AREA E,Tornillo,"Kit de 12 tornillos, 12 arandelas y 12 tuercas, enjauladas para sujetar equipos rack",LINKEDPRO,LPTAT12,1,,,
S0354,AREA E,Conector,"Conector macho BNC, para cable coaxial",S / M,BNC,27,,,
S0355,AREA E,Baterias,"Baterias 2 AA, azul",VOLTECK,AL-AA-D,5,,,
S0356,,SALCHICHA,Cierre coenxión bajante optico c/Acop opt SC/SC,ALSAN,1035043,26,,,
S0357,,Hebilla,Hebilla,AERIALGRIP,201SS,-76,,,
S0358,,Conector,Conector Pre pulido para Fibr óptica,FHTEK,FPF-PAA-01,90,,,
S0359,,POE,"Adaptador PoE Ubiquiti Gigabit de 24 VDC, 0.3 A",UBIQUITINETWORKS,POE247WGWH,11,,,
S0360,,CABLE,"Cable de Alimentación para Inyectores POE24V, POE56V, POE-30G, N000000L034A,EPA5006GR, POE-24-12W-G, POE-24-12W.",MIMOSA NETWORKS,PCC53,8,,,
S0361,AREA G,CINCHO,BRIDA DE ACERO,--,CT-203,15,,,
S0362,AREA EX1,CABLE DE UTP,"CARRETE de cable UTP de 152.4 m, Cat5e, FTP, blindado, para intemperie, color negro, UL, color negro, para aplicaciones en video vigilancia, redes de datos. EXTERIORES",LINKEDPRO,PROCAT5EXT/500,304.8,,,
S0363,AREA EX1,CHAROLA,"Charola para Rack de 19"", 23 cm de Profundidad, 2U.",LINKEDPRO,SCH19/130,1,,,
S0364,,CABLE DE CORRIENTE,Cable de Alimentación Eléctrica 110 - 240 VCA / 1.5 Mts de Distancia,HIKVISION,HIKACCORD,1,,,
S0365,,POE,"Adaptador PoE Ubiquiti Gigabit de 24 VDC, 0.3 A, BLANCO, USADO",UBIQUITINETWORKS,POE247W,-1,,,
S0366,,POE,"Adaptador PoE Ubiquiti de 24 VDC, 1.0 A, NEGRO",UBIQUITINETWORKS,POE2424W,1,,,
S0367,,ACOPLADOR,ACOPLADOR AZUL,--,--,75,,,
S0368,AREA EX3,ABRAZADERA OMEGA,ABRAZADERA OMEGA 3/4,--,--,94,,,
S0369,AREA EX3,ABRAZADERA,"ABRAZADERA OMEGA 1""",--,--,61,,,
S0370,AREA EX3,ABRAZADERA,"ABRAZADERA OMEGA 1 1/2""",--,--,83,,,
S0371,AREA B,JUMPER,"Jumper de Fibra Óptica Duplex SCU/ SCU, color naranja, 3 metros",ICOPTIKS,JD516SCU/SCU03,5,,,22/06/2023
S0372,AREA B,JUMPER,"Jumper de Fibra Óptica SIMPLEX Monomodo LCU/SCU, color amarillo, 10 metros",ICOPTIKS,JD516LCU/SCU10,4,,,22/06/2023
S0373,AREA B,JUMPER,"Jumper dúplex MONOMODO, LCU/LCU, AZUL, 5 M.",ICOPTIKS,JDA16LCU/LCU05,1,,,22/06/2023
S0374,AREA B,JUMPER,"Jumper dúplex, G.657 A2 2 mm LCU/SCU , AZUL, 3 M.",ICOPTIKS,JDA16LCU/SCU03,1,,,22/06/2023
